,1과 영어,1과 뜻,2과 영어,2과 뜻,3과 영어,3과 뜻,4과 영어,4과 뜻,5과 영어,5과 뜻,6과 영어,6과 뜻,7과 영어,7과 뜻,8과 영어,8과 뜻
0,innate,"타고난, 선천적인",proceed,"계속되다[하다], 진행되다[하다]; 나아가다",shed,"없애다; 흘리다; (빛을) 비추다; 헛간, 광; 차고",adequate,"충분한, 적당한, 적절한",refer,"언급하다, 지칭하다; 참조하다",replicate,"모사하다, 복사하다; (바이러스 등이) 자기 복제를 하다",equilibrium,"균형, 평정",biodiversity,생물의 다양성
1,advance,"진보, 발전; 전진; 진보하다; 전진하다; (의견을) 제기하다",renewable,재생 가능한,slam,"쾅 닫히다, 쾅 닫다; 쾅 내려놓다; 세게 치다",trait,"(성격적 · 신체적) 특성, 특징",exert,"(있는 힘껏) 노력하다; (영향력을) 행사하다, 발휘하다",deprive,"빼앗다, 박탈하다",integrate,"통합하다, 통합되다; 융합하다",rigorous,"철저한, 엄격한; 엄한, 혹독한"
2,limb,(하나의) 팔다리; (큰) 나뭇가지,narrative,"이야기, 서술; 이야기의, 서술적인",privilege,"특혜, 특전, 특권; 특권을 주다",fragment,"파편, 조각; 산산이 부수다, 부서지다",mutual,"상호 간의, 서로의; 공통의, 공동의",refund,환불(액); 환불하다,summon,호출하다; 소환하다,postpone,"연기하다, 미루다"
3,breed,"새끼를 낳다, 번식시키다; (문제 등을) 일으키다; 종(種), 품종",artifact,"공예품, 인공물, (과거의) 유물",suggest,"제안하다; 암시하다, 나타내다",thorough,"철저한, 빈틈없는, 철두철미한",interpret,"(의미를) 해석하다, 이해하다; 통역하다",astonished,깜짝 놀란,recipient,"받는 사람, 수령인",nerve,"신경; 긴장, 불안; 용기; 용기를 내어 ~하다"
4,pervade,"만연하다, ~ 전체에 퍼지다",portray,"묘사하다, 표현하다; (영화 등에서) 연기하다",mercury,수은,summarize,"요약하다, 간추리다",clinical,"임상의, 임상적인",neuroscience,신경과학,gradually,"점차적으로, 서서히",underlying,근본적인; (다른 것의) 밑에 있는
5,regard,"간주하다, 여기다; 고려, 관심; 존경",enact,"(법을) 제정하다; 상연하다, 연기하다",weave,"(실·천을) 짜다, 엮다; (이야기 등을) 엮다",instinct,"본능, 타고난 소질; 직감",sustain,"유지하다, 지속하다; (무게를) 지탱하다; (손해 · 부상을) 겪다, 입다",figure,수치; (중요) 인물; 모습; 도표; 중요하다; 생각[판단]하다,surge,"밀려들다, 급증하다; 급증, 급등",preconceived,"사전에 형성된, 선입견의"
6,statement,"진술, 서술; 성명(서)",incident,"일어난 일, 사건",federal,"연방의, 연방 정부의; 연방(제)의",glance,흘끗 봄; 흘끗 보다; 훑어보다,acquaintance,"지인, 아는 사람; 지식",regulate,"규제하다, 통제하다; 조절하다, 조정하다",displace,"대신하다, 대체하다; 쫓아내다",reluctant,"꺼리는, 마지못한, 망설이는"
7,efficacy,"(약이나 치료의) 효험, 효능",speculate,"추측하다, 짐작하다; 투기하다",infer,"추론하다, 추측하다",disperse,"흩어지다, 흩어지게 하다; 분산시키다",counsel,"조언하다; 상담하다; 충고, 조언; 변호인",spatial,"공간의, 공간적인",supplement,"보충(물), 보완; 추가 요금; 보충하다",theoretical,"이론의, 이론적인"
8,facility,"시설, 설비; (기계 등의) 기능, 특징; 재능",prescribe,(의사가 약을) 처방하다; 규정하다,formulate,"(세심하게) 만들어내다; (명확하게) 표현하다, 진술하다",criterion,"표준, 기준, 척도",toll,통행료; 사상자 수,advent,"출현, 도래",nurture,"보살피다, 양육하다; 육성[양성]하다; 양육, 양성",impair,"손상하다, 악화시키다"
9,startled,깜짝 놀란,strive,"노력하다, 애쓰다, 분투하다",fulfill,"성취하다, 달성하다; (약속을) 이행하다; 충족시키다, 만족시키다",democratic,"민주주의의, 민주적인; 평등한; 민주당의",associate,"연상하다, 관련 짓다; 어울리다, 교제하다; 동료",flip,홱 뒤집다; 톡 던지기; 공중제비,foster,"촉진하다, 조성하다; 기르다; 보살펴주는",compression,"압축, 압박; (데이터) 압축"
10,convince,"납득시키다, 확신시키다; 설득하다",anthropology,인류학,immerse,"(액체 속에) 담그다; 몰두하다, 몰두시키다",typical,"전형적인, 대표적인; 보통의, 일반적인",withdraw,"탈퇴하다, 물러나다, 철수하다; 철회[취소]하다; (돈을) 인출하다",exclusive,"독점적인; 배타적인; 고급의, 고가의; ~을 제외하고; 독점 기사",awkward,"난처한, 곤란한; 어색한; 서투른",semester,학기
11,defect,"결함, 결점",tomb,무덤,praise,"칭찬하다, 높이 평가하다; 칭찬, 찬사",statistic,통계; 통계학,equity,"공평, 공정",metaphor,"은유, 비유",conform,"(법 · 규칙 등에) 따르다, 순응하다; ~에 일치하다, 같아지다",penetrate,"뚫고 들어가다, 관통하다; (적진 등에) 침투하다"
12,implicit,"암묵적인, 암시된, 내포된; (신뢰 등이) 절대적인, 무조건적인",precisely,정확히,authority,"권력, 권한; 당국; 권위",prospect,"가망, 가능성; 예상; 전망",antique,골동품; 골동품인,tablet,"알약; 평판, 서판",aggressive,공격적인; (원하는 것을 이루기 위해) 매우 적극적인,comprise,~으로 구성되다; 구성[차지]하다
13,efficient,"효율적인, 능률적인; 유능한",,,consolidate,"통합하다, 합병하다; (권력 등을) 굳건하게 하다, 강화하다",proposition,"(사업상의) 제안; 일, 과제; 명제, 진술",canal,"수로, 운하",thereby,"그렇게 함으로써, 그것 때문에",hazard,위험 (요소); 위태롭게 하다,solitary,"외딴, 고독한; 혼자의, 혼자서 하는; 혼자 있기를 좋아하는"
14,willing,"기꺼이 ~하는; 자진해서 하는, 자발적인",,,intervene,"개입하다, 중재하다; (말하는 도중에) 끼어들다",confine,"국한하다, 한정하다; 가두다, 감금하다",intrude,"침입하다, 침해하다; 방해하다",entail,"수반하다, 포함하다",context,"(어떤 일의) 전후 상황, 맥락; (글의) 맥락, 문맥",patron,"후원자, 후원 단체"
15,attentive,"주의를 기울이는; 배려하는, 신경을 쓰는",,,stance,"입장, 태도; (특히 스포츠에서) 자세",disturb,방해하다; 불안하게 하다; 어지럽히다,beverage,음료,prefer,"(~을) 더 좋아하다, 선호하다",abrupt,"돌연한, 갑작스러운; 퉁명스러운",auditorium,"객석, 강당"
16,intensify,"심해지다, 강화하다",,,archaeologist,고고학자,schema,"(간단한) 도식, (계획이나 이론의) 개요",authentic,"정통의, 진정한; 진품인, 진본인",intuitive,"직감적인, 직관적인; 직감력이 있는, 감이 뛰어난",offset,"상쇄하다, 벌충하다",passive,"소극적인, 수동적인; 순종적인; 수동태"
17,stock,"재고(품); 비축물, 저장량; 주식; 가축; (상품의 재고를) 갖추다",,,anticipate,"예상하다; 기대하다, 고대하다",desperate,"자포자기한, 절박한; 절망적인; 필사적인; 간절히 원하는",wander,"돌아다니다, 헤매다; (생각이) 다른 데로 흐르다, 산만해지다; 거닐기",diversify,"다각화하다, 다양화하다; 변화를 주다",brutal,"잔혹한, 악랄한, 잔인할 정도의",frequent,"잦은, 빈번한; (장소에) 자주 다니다"
18,contaminate,오염시키다; 악영향을 미치다,,,crude,"대충의, 대강의; 천연 그대로의",empirical,"경험[실험]에 따른, 실증적인",expend,"(많은 돈 · 시간 · 에너지를) 쏟다, 들이다",reflect,"반사하다; (거울 등에) 비치다, 비추다; 반영하다; 숙고하다",rural,"시골의, 지방의, 전원의",descend,"내려오다, 내려가다, 하강하다; (어둠이) 내려앉다"
19,collective,"공동 사업체; 집단의, 공동의",,,deflate,"공기를 빼다; (기운 등을) 꺾다, 위축시키다; (경제를) 수축시키다",drawback,"결점, 문제점",,,gossip,"(남에 대한 좋지 못한) 소문, 험담; 험담을 하다",distract,"(마음 · 주의를) 흐트러뜨리다, 산만하게 하다",escalate,"확대하다, 증가하다"
